id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,backyard,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,renovated,zipcode,sqft_living15,sqft_lot15,age,appliance_age,crime
99,729000,3,2.5,2440,4244,2,0,0,3,8,2440,0,2011,0,0,98052,2690,4556,4,6.3,86
100,920000,5,2.25,2730,6000,1.5,0,2,3,8,2130,600,1927,0,0,98105,2730,6000,88,4.6,84
101,350000,3,2.5,2680,7836,2,0,0,3,8,2680,0,1990,2009,1,98092,2340,8040,25,21.5,167
102,289500,3,1,1200,5525,1,0,0,2,7,1200,0,1947,0,0,98115,1580,7200,68,12.3,178
103,415000,3,2.5,1610,3600,2,0,0,3,8,1610,0,2010,0,0,98072,2210,3600,5,9.6,125
104,230000,3,2.5,1340,3011,2,0,0,3,7,1340,0,1995,0,0,98038,1060,3232,20,21.7,149
105,147000,3,1.5,1480,9606,1,0,0,4,7,1100,380,1964,0,0,98023,1600,9619,51,13.8,220
106,860000,3,1.75,2180,14135,1,0,1,5,8,1300,880,1947,0,0,98033,3540,10318,68,1.4,97
107,730000,4,2,2360,6000,1,0,0,5,7,1260,1100,1939,0,0,98199,1720,6000,76,3.7,160
108,435000,4,2.75,2110,8751,1,0,0,3,7,1510,600,1962,0,0,98011,1660,10295,53,11.8,196
109,475200,3,2.5,1670,3980,2,0,0,3,8,1670,0,2000,0,0,98027,1670,2897,15,7.5,147
110,311000,2,1.75,1180,55321,1,0,0,3,8,1180,0,1941,2004,1,98042,1480,56192,74,16.1,137
111,540000,3,2,1580,1972,2.5,0,1,3,8,1180,400,2007,0,0,98116,1500,1908,8,7.4,122
112,325000,2,1,810,4080,1,0,0,4,6,810,0,1941,0,0,98126,1400,4080,74,11.9,187
113,288790,4,2,1390,745,3,0,0,3,7,1390,0,2008,0,0,98027,1390,942,7,9.2,188
114,304000,4,2,1310,8454,1,0,0,4,7,1310,0,1953,0,0,98155,1320,8274,62,15.7,179
115,677500,3,1.75,2020,9718,1,0,0,3,8,2020,0,1956,0,0,98040,2370,8604,59,4.8,90
116,720000,2,1,2020,7200,1,0,2,4,7,1700,320,1947,0,0,98146,2020,7200,68,2.9,94
117,550000,2,1,1070,3000,1,0,0,4,7,870,200,1926,0,0,98103,1890,3300,89,12.4,106
118,750000,3,2.5,2400,7745,2,0,0,3,9,2400,0,2001,0,0,98033,2080,8615,14,6.7,60
119,282000,2,1,1150,6098,1,0,0,3,7,950,200,1948,0,0,98125,1790,8455,67,17.7,110
120,395000,2,2.25,1350,1493,2,0,0,3,8,1050,300,2007,0,0,98136,1250,1202,8,13.9,113
121,589950,4,2.5,3190,8195,2,0,0,3,10,3190,0,2006,0,0,98038,3400,7607,9,5.4,101
122,305000,3,1,1160,11776,1,0,0,3,7,1160,0,1968,0,0,98077,1160,10050,47,10.8,158
123,195000,3,1,1280,6967,1.5,0,0,3,7,1280,0,1949,0,0,98155,1280,7245,66,22.2,229
124,550000,3,1.75,1650,3200,1.5,0,0,3,8,1650,0,1901,0,0,98102,1500,2400,114,15.6,99
125,207100,2,1,1000,4500,1,0,0,3,6,1000,0,1916,0,0,98055,980,4837,99,12.8,278
126,501000,3,1.75,1480,8667,1,0,0,5,7,740,740,1954,0,0,98006,1600,10644,61,6.8,77
127,235867,4,2,1330,5926,1,0,0,4,5,1330,0,1942,0,0,98056,1150,5485,73,13.3,210
128,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,0,98030,2200,6865,30,15.9,104
129,535000,4,2.5,2340,5600,2,0,0,3,7,2340,0,1921,2013,1,98146,1310,5600,94,5.9,98
130,853800,7,4,2960,2665,2,0,2,3,9,1950,1010,1927,2013,1,98144,1970,4410,88,3.4,95
131,212000,3,1,1040,6800,1,0,0,5,6,1040,0,1951,0,0,98178,1430,6080,64,17.5,232
132,389000,4,2.25,2130,5337,2,0,0,3,7,2130,0,2001,0,0,98019,2300,6930,14,11,133
133,965000,4,2.5,3920,41206,2,0,2,4,10,3920,0,1988,0,0,98072,3780,36562,27,0.7,40
134,325000,1,1,730,1942,1,0,0,3,7,730,0,2009,0,0,98144,1020,2044,6,13.5,145
135,579100,2,1,1070,2754,1,0,0,3,7,830,240,1924,0,0,98103,1760,4080,91,9.2,95
136,536000,3,2.75,2290,34548,2,0,2,4,7,2290,0,1984,0,0,98042,399,275299,31,8.5,85
137,500000,4,2,1700,8640,1,0,0,3,7,850,850,1955,2010,1,98006,1620,9000,60,11.2,142
138,510000,3,2,1410,11995,1,0,0,4,8,1410,0,1965,0,0,98006,2690,12650,50,7.7,127
139,630000,4,2.5,3220,14463,2,0,0,3,8,3220,0,1978,0,0,98074,2550,12109,37,6.3,147
140,390000,3,2,2360,5737,2,0,0,3,8,2360,0,2003,0,0,98028,1600,9163,12,9.4,218
141,227950,3,1.5,1670,8230,1,0,0,5,7,1670,0,1954,0,0,98001,2077,4910,61,12.2,219
142,540000,3,2.25,2000,217800,2,0,0,3,8,2000,0,1996,0,0,98024,2220,217800,19,14.2,172
143,340500,3,1,1770,12458,1,0,0,3,7,1770,0,1957,0,0,98155,2000,8225,58,9.9,197
144,231000,3,2.5,1370,7247,2,0,0,3,7,1370,0,1995,0,0,98032,1720,8085,20,13.6,145
145,438000,3,2.5,1520,1304,2,0,0,3,8,1180,340,2006,0,0,98136,1270,1718,9,8.7,166
146,630000,5,2,2330,6783,1,0,0,3,7,1310,1020,1956,0,0,98115,1930,6783,59,6.3,96
147,275000,3,1.5,1510,16200,1,0,0,3,7,1510,0,1970,0,0,98031,1650,13950,45,10.2,171
148,371000,4,1.75,1690,10854,1,0,0,3,7,1690,0,1977,0,0,98056,2390,7000,38,10.3,112
149,415000,4,2.5,2550,4500,2,0,0,3,7,2550,0,2009,0,0,98059,2340,4526,6,13.4,149
150,637000,4,2.75,2850,7510,2,0,0,3,8,2850,0,2008,0,0,98125,1510,8833,7,8.2,113
151,350000,3,2.25,2010,4400,1.5,0,0,3,7,2010,0,1986,0,0,98055,1720,4187,29,13.4,151
152,202000,1,1,590,833,1,0,0,4,7,590,0,1926,0,0,98122,780,1617,89,20.2,250
153,715000,4,3.5,3260,110579,2,0,0,3,10,3260,0,1997,0,0,98053,3470,97895,18,7.6,43
154,265000,3,2.25,1510,6071,1,0,0,4,7,1150,360,1985,0,0,98042,1510,7271,30,20.9,115
155,545000,4,1.5,1370,3708,1.5,0,0,3,7,1370,0,1926,0,0,98117,2030,3708,89,8.1,134
156,325000,4,1.5,1470,70800,1,0,0,3,7,1470,0,1976,0,0,98010,1810,72337,39,8.9,124
157,465000,3,1.75,1730,8073,1,0,0,3,8,1350,380,1971,0,0,98177,2500,8073,44,13.3,165
158,309000,3,2.5,1450,11480,2,0,0,3,7,1450,0,1990,0,0,98014,2080,87991,25,19.9,239
159,234950,2,2.5,1720,3132,2,0,0,3,8,1720,0,1999,0,0,98042,1740,4220,16,27.3,203
160,515000,4,2.5,2680,7178,2,0,0,3,8,2680,0,2004,0,0,98065,2540,7133,11,11.2,86
161,259000,3,1.75,1590,7148,1,0,0,3,7,1590,0,1952,0,0,98166,1150,7280,63,12.7,193
162,345000,3,2.75,2190,7258,2,0,0,3,8,2190,0,2000,0,0,98003,2190,8645,15,20.5,119
163,475300,3,1,2110,10005,1,0,0,5,7,1110,1000,1924,0,0,98033,1360,9827,91,10.4,90
164,850000,3,2.5,3300,11570,2,1,0,3,9,3300,0,1994,0,0,98006,3280,11446,21,1.1,67
165,320000,3,1.75,1510,30185,1.5,0,0,3,7,1510,0,1976,0,0,98058,1470,12465,39,21.3,150
166,296000,2,1,1370,8400,1,0,0,3,7,1370,0,1948,0,0,98133,1330,8396,67,14.8,192
167,699000,5,2.5,3340,24755,2,0,0,3,10,3340,0,2002,0,0,98038,3420,23274,13,5,167
168,278500,4,1,1540,8400,1,0,0,3,7,770,770,1971,0,0,98058,1520,9891,44,17.4,213
169,515000,3,1.5,1660,5100,1,0,0,4,7,1210,450,1954,0,0,98136,1440,5100,61,6.7,111
170,583000,3,2.25,1830,8276,1,0,0,3,8,1350,480,1989,0,0,98074,1920,8276,26,3.8,84
171,536000,3,2.5,1990,7397,2,0,0,3,9,1990,0,1993,0,0,98072,2210,7397,22,7.8,159
172,330000,4,3.5,3150,6202,2,0,0,3,7,3150,0,2005,0,0,98042,2950,5940,10,14.9,196
173,605000,3,2.5,2570,9487,2,0,2,3,9,2570,0,1989,0,0,98011,2490,9898,26,7.8,108
174,875000,4,3.5,3110,108464,2,0,2,4,8,3110,0,1979,0,1,98075,2340,4938,36,3.9,89
175,572000,2,2,1870,5143,1,0,0,3,8,1870,0,2005,0,0,98053,1810,5143,10,7.4,128
176,306000,4,2.5,1880,9426,2,0,0,4,7,1880,0,1990,0,0,98042,1760,7040,25,17,226
177,685000,3,1.75,1650,8400,1,0,0,3,8,1470,180,1959,0,0,98040,2020,7777,56,10.1,73
178,429000,4,1,1350,3333,1.5,0,0,3,7,1350,0,1912,0,0,98107,1530,5000,103,12.4,140
179,306500,3,1.5,1100,8140,1,0,0,4,7,1100,0,1965,0,0,98059,1430,7700,50,15.5,131
180,250200,3,1.5,1180,7384,1,0,0,5,7,1180,0,1959,0,0,98032,1150,7455,56,18.4,160
181,325000,4,2.5,1850,7324,2,0,0,3,8,1850,0,1997,0,0,98042,2100,7329,18,20.4,201
182,257000,3,1.75,1850,10920,1.5,0,0,3,6,1850,0,1915,0,0,98034,1510,7871,100,19.5,244
183,235000,4,1.75,1450,8891,1.5,0,0,3,7,1180,270,1962,0,0,98168,1450,9013,53,13.6,158
184,651000,3,3,2260,1834,2,0,0,3,8,1660,600,2002,0,0,98122,2260,1834,13,8,100
185,600000,3,1.75,1880,6360,1,0,0,4,7,1040,840,1945,0,0,98115,1770,6175,70,12.4,88
186,765000,4,2.5,2910,15016,2,0,0,3,10,2910,0,1990,0,0,98052,2870,13992,25,6.4,69
187,575000,4,2.5,2630,6247,2,0,0,3,8,2630,0,1992,0,0,98029,2130,4668,23,5.9,89
188,435000,4,2.25,1780,2684,2,0,0,3,7,1780,0,2002,0,0,98072,1670,2426,13,8.6,111
189,495000,4,3.5,3170,3858,2,0,0,3,8,2530,640,2008,0,0,98059,2640,3844,7,10.5,110
190,380000,3,2,1440,3218,1,0,0,3,7,850,590,2008,0,0,98106,1170,5000,7,8.6,129
191,288000,3,1.5,1300,7313,1,0,0,4,7,1300,0,1968,0,0,98055,1770,8075,47,19.7,153
192,230000,3,1,880,9035,1,0,0,4,6,880,0,1967,0,0,98059,1440,10350,48,13.7,212
193,149500,3,1,1010,9450,1,0,0,4,7,1010,0,1959,0,0,98198,1240,9450,56,15.3,249
194,755000,3,2.5,2000,1950,3,0,0,3,8,2000,0,2005,0,0,98109,1560,1340,10,3.6,71
195,300000,5,1,1940,8875,1,0,0,3,7,1940,0,1957,0,0,98188,1380,8875,58,12.3,138
196,975000,4,3.5,3130,52322,2,0,2,3,9,2430,700,2011,0,0,98005,3200,5820,4,6,22
197,260000,4,2,1620,7992,2,0,0,4,7,1620,0,1975,0,0,98031,1710,7500,40,18.2,232
198,129888,2,1,710,9900,1,0,0,3,6,710,0,1943,0,0,98166,1070,9900,72,18,266
199,274000,2,1,820,6200,1,0,0,4,6,820,0,1954,0,0,98166,1410,14000,61,12.8,236
200,325000,4,2.25,1770,7799,2,0,0,3,7,1770,0,1998,0,0,98031,1770,7778,17,13.4,230
201,329950,3,2.5,1820,8085,2,0,0,3,7,1820,0,1983,0,0,98055,1860,8625,32,18,130
202,460000,2,1.5,1820,7800,1,0,0,4,7,1240,580,1956,0,0,98133,1400,7800,59,9.1,130
203,428000,2,1.75,1980,44550,2,0,1,5,7,1280,700,1977,0,0,98070,1680,25343,38,13.5,161
204,630000,4,2,1610,5000,2,0,0,5,7,1610,0,1946,0,0,98117,1300,4950,69,4.2,122
205,450000,3,2.75,2840,39324,1,0,0,3,9,2200,640,1988,0,0,98092,2840,39413,27,12,194
206,387000,3,1.75,1810,10800,1,0,0,5,8,1210,600,1968,0,0,98056,1800,10800,47,8.4,167
207,381000,2,2,1340,4447,1,0,0,3,8,1340,0,2004,0,0,98053,1350,4458,11,13.4,145
208,950000,3,2.5,2780,275033,1,0,2,3,10,2780,0,2006,0,1,98045,1680,16340,9,6.6,37
209,585000,2,1,1110,6000,1,0,0,3,7,1010,100,1951,0,0,98118,1410,3500,64,8.6,151
210,429000,3,2.5,2420,49928,2,0,0,3,8,1860,560,1985,0,0,98027,2620,37301,30,10.6,119
211,261500,4,2.5,2460,7800,1,0,0,3,8,1500,960,1977,0,0,98023,2210,7800,38,19.2,166
212,545000,4,2.75,3410,35040,2,0,0,3,9,3410,0,1984,0,0,98038,2580,37263,31,6.3,121
213,495000,4,3,2740,2811,2,0,0,3,8,2240,500,2003,0,0,98072,2740,3596,12,11.7,126
214,740000,4,2.75,2890,4000,1.5,0,0,4,9,2190,700,1931,0,0,98109,2280,4000,84,5.3,49
215,355000,3,1.75,2040,22693,1,0,0,4,8,2040,0,1980,0,0,98042,1950,6280,35,18.2,180
216,239000,4,1,1280,8316,1,0,0,3,6,1280,0,1950,0,0,98168,1310,7830,65,15,234
217,425000,3,2.5,2320,2267,3,0,0,3,8,2320,0,2009,0,0,98177,1240,1883,6,10.9,103
218,700000,4,3.25,2780,7875,2,0,0,3,9,2780,0,2006,0,0,98133,1000,7500,9,7.7,90
219,465000,4,2.25,2340,13383,1,0,0,3,8,1170,1170,1983,0,0,98074,1810,12532,32,13.8,146
220,183000,2,1,670,5140,1,0,0,3,6,670,0,1926,0,0,98126,850,5140,89,21.8,172
221,339999,3,2.5,2360,8093,2,0,0,3,8,2360,0,1995,0,0,98092,1860,6762,20,9.5,170
222,287500,4,2.25,2250,12000,2,0,0,3,8,2250,0,1985,0,0,98032,2140,11871,30,13.4,204
223,401000,2,1,840,8100,1,0,0,4,7,840,0,1948,0,0,98177,1100,8220,67,15.8,155
224,425000,2,1,2110,4920,1.5,0,0,3,7,1460,650,1911,0,0,98103,1390,4732,104,13.8,143
225,349950,3,2.5,2140,7715,2,0,0,3,7,2140,0,1991,0,0,98198,1990,7628,24,16.2,107
226,800000,3,1.75,2080,75794,1,0,0,3,7,2080,0,1958,0,0,98033,1870,11020,57,5.5,63
227,165000,3,1.5,1280,7742,1,0,0,3,7,1280,0,1973,0,0,98001,1566,7696,42,17.7,269
228,236000,3,1.75,1560,10919,1,0,0,3,7,1560,0,1975,0,0,98023,1730,10919,40,11.9,232
229,605000,2,1,860,6510,1,0,0,3,7,860,0,1952,0,0,98004,1740,10800,63,8.2,62
230,313000,3,1.5,1550,7260,1.5,0,0,2,6,1550,0,1925,0,0,98166,1190,7620,90,17.4,140
231,285000,4,2.5,1800,9229,2,0,0,3,7,1800,0,1994,0,0,98022,1970,9231,21,13.4,174
232,334950,3,2.5,1620,2930,2,0,0,3,8,1620,0,2002,0,0,98058,1900,2943,13,16.9,101
233,462500,3,2.25,2350,51400,1,0,0,3,7,1390,960,1977,0,0,98077,2350,51400,38,15.4,102
234,419354,5,2.75,2710,4500,2,0,0,3,8,2710,0,2014,0,0,98038,2710,4626,1,7,144
235,399950,3,3,1860,2875,2,0,0,3,8,1710,150,2009,0,0,98126,1350,4830,6,9.9,212
236,739999,4,2.75,3350,6500,2,0,0,3,10,3350,0,1999,0,0,98075,2960,6970,16,5.8,77
237,415000,4,1.5,1840,11367,1.5,0,0,4,7,1840,0,1950,0,0,98177,1690,9800,65,13,164
238,700000,6,3,2790,4550,2.5,0,0,4,8,2790,0,1907,0,0,98119,2590,4550,108,6.2,89
239,259250,3,1,940,5904,1,0,0,3,6,940,0,1947,0,0,98103,870,5728,68,17.3,281
240,473000,5,3.25,2180,7200,2,0,0,4,7,2180,0,1982,0,0,98034,1840,7644,33,7.5,130
241,475000,3,1.5,1790,229125,2,0,2,3,7,1790,0,1987,0,0,98022,1970,216928,28,7.2,116
242,648000,4,2.5,3290,6203,2,0,0,3,9,3290,0,2008,0,0,98065,2990,6835,7,8.7,100
243,1075000,4,4.25,3500,8750,1,1,2,5,9,2140,1360,1951,0,0,98177,3110,8750,64,3,34
244,179000,2,1,990,8760,1,0,0,3,7,990,0,1977,0,0,98003,1560,11880,38,24.5,274
245,500000,3,2.25,1580,4379,2,0,0,4,8,1580,0,1994,0,0,98029,1770,4187,21,8.1,125
246,498000,3,2.5,2480,4136,2,0,0,3,8,2480,0,2009,0,0,98059,2510,4314,6,10.1,92
247,416000,4,1.75,1980,7840,1,0,0,4,7,990,990,1961,0,0,98008,1520,8400,54,14.6,156
248,417000,2,1.75,1090,4590,1,0,0,4,7,790,300,1915,0,0,98105,1390,4080,100,8.1,116
249,219000,2,2.5,809,940,2,0,0,3,7,809,0,2003,0,0,98136,1260,4240,12,19,255
