age,sex,education,marriage,assets,missed_payment,credit_utilize,default
33,male,postgraduate,married,house,no,0.207,no
37,female,postgraduate,unmarried,car_house,no,0.186,no
43,male,postgraduate,unmarried,house,no,0.337,no
41,female,high_school,unmarried,none,yes,0.443,yes
26,female,high_school,unmarried,car,yes,0.951,yes
29,female,college,unmarried,car_house,no,0.211,no
24,male,high_school,unmarried,none,no,0.531,yes
39,female,college,unmarried,car,yes,0.47,yes
23,female,postgraduate,married,none,yes,0.989,yes
50,male,college,unmarried,car,yes,0.513,yes
40,female,high_school,unmarried,none,yes,0.318,yes
52,female,college,unmarried,car,no,0.286,yes
23,female,postgraduate,married,none,no,0.431,yes
30,male,postgraduate,unmarried,house,no,0.176,no
38,male,high_school,married,house,yes,0.312,no
58,male,postgraduate,married,house,no,0.335,no
45,male,high_school,unmarried,none,yes,0.93,yes
42,female,college,unmarried,none,yes,1,yes
41,female,high_school,unmarried,none,yes,0.307,yes
46,male,high_school,unmarried,car,yes,0.973,yes
46,male,high_school,married,car,yes,0.434,yes
24,female,high_school,unmarried,none,no,0.25,yes
24,female,college,unmarried,none,yes,0.523,yes
25,male,college,unmarried,none,yes,1,yes
43,female,postgraduate,married,car_house,no,0.253,no
27,female,high_school,married,none,no,1,yes
43,male,college,unmarried,car,no,0.247,yes
29,female,high_school,unmarried,house,yes,0.254,yes
25,female,high_school,unmarried,none,yes,1,yes
55,female,high_school,unmarried,none,yes,0.528,yes
39,female,postgraduate,married,car_house,no,0.253,no
29,male,high_school,unmarried,none,yes,0.612,yes
26,female,postgraduate,married,house,no,0.329,no
22,female,college,unmarried,none,yes,0.321,yes
24,male,college,married,house,yes,0.442,yes
29,male,high_school,unmarried,car,yes,0.5,yes
55,male,college,unmarried,none,no,0.364,yes
25,male,high_school,unmarried,car_house,yes,0.33,yes
22,male,high_school,unmarried,car,yes,1,yes
27,female,high_school,unmarried,none,no,0.28,yes
33,female,college,unmarried,car,no,0.306,yes
23,female,college,unmarried,none,yes,0.45,yes
43,female,high_school,unmarried,car,yes,0.997,yes
27,female,high_school,unmarried,none,no,0.381,yes
38,female,high_school,unmarried,car,no,0.523,yes
35,female,college,married,house,no,0.322,no
45,female,college,married,car_house,no,0.171,no
22,male,college,unmarried,none,yes,0.532,yes
25,male,postgraduate,unmarried,car_house,yes,0.335,no
25,female,high_school,married,car_house,no,0.318,no
50,female,college,unmarried,house,no,0.196,no
27,female,high_school,unmarried,car,yes,1,yes
37,female,high_school,unmarried,car,yes,0.504,yes
27,female,high_school,unmarried,none,yes,0.536,yes
28,male,high_school,unmarried,house,no,0.463,yes
51,female,college,unmarried,none,no,0.99,yes
30,male,college,married,car,yes,0.297,yes
23,female,postgraduate,married,car,yes,0.239,no
25,female,college,married,car_house,no,0.149,no
32,male,postgraduate,married,car_house,yes,0.341,no
27,female,college,unmarried,none,yes,0.488,yes
45,male,high_school,married,none,no,0.34,yes
57,male,postgraduate,married,car_house,no,0.205,no
39,female,high_school,unmarried,house,no,0.33,yes
45,male,postgraduate,unmarried,car,yes,0.356,yes
52,male,postgraduate,married,none,no,0.24,no
28,male,high_school,unmarried,car,no,0.422,yes
47,male,college,unmarried,none,no,0.972,yes
49,male,postgraduate,married,house,no,0.257,no
44,female,postgraduate,unmarried,car,yes,0.166,no
32,male,high_school,unmarried,none,yes,0.492,yes
24,female,college,unmarried,none,yes,0.361,yes
28,female,high_school,unmarried,none,yes,0.505,yes
32,male,college,unmarried,car,no,0.396,yes
24,male,high_school,married,none,no,0.418,yes
26,female,high_school,married,car,no,0.167,no
28,male,college,unmarried,none,yes,1,yes
44,male,college,married,house,no,0.157,no
22,female,college,married,none,yes,0.526,yes
29,male,postgraduate,married,car,no,0.21,no
30,female,college,married,house,no,0.165,no
23,female,postgraduate,married,none,yes,0.164,no
27,female,college,married,car,no,0.512,yes
26,male,postgraduate,married,none,no,0.265,no
25,female,college,unmarried,house,yes,0.505,yes
38,female,high_school,unmarried,house,yes,0.499,yes
27,female,college,unmarried,car,no,0.265,no
39,male,high_school,unmarried,none,no,0.436,yes
30,male,college,married,car,no,0.211,no
30,male,college,unmarried,none,yes,1,yes
26,female,postgraduate,married,house,no,0.17,no
36,female,high_school,married,none,yes,0.978,yes
23,female,college,unmarried,car,yes,0.466,yes
26,female,college,married,car,yes,0.213,no
34,male,postgraduate,married,car,no,0.247,no
48,male,college,married,none,yes,0.312,yes
44,male,high_school,unmarried,none,yes,0.984,yes
48,female,postgraduate,married,car_house,yes,0.15,no
51,female,postgraduate,married,house,yes,0.255,no
38,male,high_school,unmarried,none,yes,0.887,yes
35,female,college,unmarried,car,yes,0.156,no
24,female,college,unmarried,house,no,0.153,no
33,female,high_school,unmarried,none,yes,1,yes
50,female,high_school,unmarried,house,yes,0.496,yes
35,female,college,married,house,no,0.253,no
24,female,postgraduate,married,car_house,no,0.181,no
23,female,postgraduate,married,car,no,0.139,no
31,female,college,married,car,yes,0.449,yes
41,male,college,unmarried,none,yes,0.549,yes
28,male,college,unmarried,none,yes,0.525,yes
49,male,high_school,married,car_house,no,0.194,no
31,female,postgraduate,married,house,yes,0.145,no
31,female,postgraduate,unmarried,none,no,0.252,no
30,female,postgraduate,married,car,yes,0.145,no
26,male,college,married,car_house,yes,0.201,no
53,female,college,married,house,no,0.159,no
33,female,postgraduate,married,none,no,0.343,no
27,female,high_school,unmarried,car_house,yes,0.968,yes
26,female,high_school,unmarried,car,yes,0.542,yes
41,female,postgraduate,unmarried,none,no,0.341,no
54,male,college,married,none,no,0.551,yes
48,male,college,unmarried,car,yes,0.94,yes
54,male,postgraduate,unmarried,car_house,yes,0.194,no
33,female,high_school,unmarried,none,yes,1,yes
39,female,high_school,unmarried,car_house,no,0.318,no
32,female,high_school,married,none,no,0.33,yes
34,male,high_school,married,house,yes,0.249,no
27,male,college,married,car_house,no,0.147,no
34,female,high_school,unmarried,none,no,0.543,yes
43,male,college,unmarried,car_house,no,0.136,no
26,female,postgraduate,married,none,yes,0.522,yes
49,female,high_school,married,none,yes,1,yes
31,female,high_school,unmarried,none,yes,0.95,yes
58,male,high_school,unmarried,none,no,0.306,yes
35,male,postgraduate,married,house,no,0.133,no
27,female,college,married,car_house,no,0.148,no
25,male,high_school,unmarried,house,yes,0.946,yes
23,female,college,unmarried,none,no,0.348,yes
28,female,college,unmarried,car,yes,0.333,yes
38,female,postgraduate,married,car,no,0.136,no
34,male,high_school,unmarried,none,yes,0.523,yes
35,female,postgraduate,married,car_house,no,0.197,no
57,male,high_school,unmarried,none,yes,0.467,yes
32,female,college,married,car_house,no,0.195,no
28,female,college,unmarried,none,no,0.329,yes
36,male,college,unmarried,none,yes,0.37,yes
26,male,high_school,unmarried,car,yes,1,yes
37,male,postgraduate,married,none,no,0.24,no
29,male,college,unmarried,car,yes,1,yes
29,female,postgraduate,unmarried,none,no,0.365,yes
27,male,high_school,unmarried,car,yes,0.967,yes
28,female,high_school,unmarried,none,yes,0.225,yes
43,female,postgraduate,unmarried,house,no,0.215,no
36,female,college,married,none,no,0.985,yes
51,female,college,unmarried,car,no,0.571,yes
28,female,postgraduate,unmarried,none,no,0.421,yes
53,male,college,married,car_house,no,0.322,no
34,male,postgraduate,married,car_house,yes,0.149,no
37,male,postgraduate,married,car_house,yes,0.235,no
35,male,postgraduate,unmarried,house,yes,0.173,no
36,male,postgraduate,married,car_house,no,0.331,no
29,female,college,married,none,no,0.156,no
46,male,high_school,unmarried,car,no,0.328,yes
29,female,postgraduate,unmarried,house,no,0.239,no
36,male,postgraduate,unmarried,none,no,0.541,yes
42,male,high_school,married,car,no,0.473,yes
34,male,postgraduate,unmarried,car_house,no,0.253,no
34,female,college,unmarried,none,no,0.355,yes
24,male,postgraduate,married,car_house,no,0.154,no
34,female,high_school,unmarried,none,no,0.34,yes
37,male,college,unmarried,car,yes,0.975,yes
42,female,high_school,married,none,yes,0.953,yes
43,female,postgraduate,married,house,yes,0.25,no
25,female,high_school,married,none,yes,0.995,yes
46,female,high_school,unmarried,none,yes,1,yes
58,male,college,unmarried,none,no,0.186,no
33,female,postgraduate,unmarried,none,no,0.962,yes
33,male,college,unmarried,none,yes,0.332,yes
29,male,college,unmarried,house,no,0.145,no
24,male,college,married,house,no,0.202,no
44,female,college,married,car_house,yes,0.553,yes
39,female,postgraduate,married,house,no,0.156,no
43,male,college,unmarried,car_house,no,0.326,no
26,male,high_school,unmarried,car,yes,0.97,yes
41,male,college,unmarried,car,yes,0.403,yes
47,female,college,unmarried,none,yes,0.241,yes
33,female,high_school,unmarried,house,yes,0.496,yes
30,male,high_school,unmarried,none,no,0.494,yes
22,female,college,unmarried,none,no,0.366,yes
35,male,college,married,house,no,0.324,no
35,female,college,unmarried,house,no,0.25,no
41,male,college,unmarried,car,yes,0.447,yes
41,male,high_school,unmarried,car,yes,1,yes
58,male,postgraduate,married,house,no,0.173,no
30,female,postgraduate,married,car_house,yes,0.208,no
43,female,postgraduate,married,car,no,0.153,no
27,male,postgraduate,married,car_house,no,0.171,no
51,male,high_school,unmarried,car,yes,0.467,yes
23,female,postgraduate,married,car_house,no,0.339,no
43,male,high_school,unmarried,car,yes,0.344,yes
34,female,high_school,married,house,yes,0.944,yes
27,female,college,unmarried,none,no,0.254,no
25,female,postgraduate,married,car_house,no,0.217,no
29,female,postgraduate,married,house,no,0.246,no
36,female,postgraduate,married,house,yes,0.162,no
26,male,postgraduate,married,car_house,no,0.252,no
36,female,high_school,unmarried,car,yes,0.331,yes
27,male,high_school,married,none,no,0.293,yes
25,male,postgraduate,married,car,no,0.157,no
24,female,high_school,unmarried,car,no,0.48,yes
40,male,postgraduate,unmarried,car,no,0.564,yes
40,male,postgraduate,unmarried,house,no,0.218,no
23,male,college,married,none,no,0.428,yes
26,female,postgraduate,married,car_house,no,0.19,no
56,female,postgraduate,married,car,no,0.169,no
26,female,college,unmarried,car_house,no,0.157,no
41,male,college,married,none,no,0.251,no
39,male,college,unmarried,house,yes,0.981,yes
33,male,postgraduate,unmarried,car_house,no,0.329,no
49,male,high_school,married,house,yes,0.949,yes
41,male,high_school,unmarried,none,no,0.52,yes
34,female,college,married,house,no,0.148,no
40,male,college,married,car_house,yes,0.55,yes
29,female,high_school,married,car,no,0.147,no
28,female,high_school,unmarried,none,no,0.362,yes
30,male,postgraduate,married,car,yes,0.344,no
27,male,postgraduate,married,car,no,0.195,no
36,male,college,unmarried,house,yes,0.318,yes
46,male,college,unmarried,car_house,no,0.151,no
32,female,college,married,car_house,yes,0.186,no
32,female,high_school,married,none,no,0.538,yes
24,female,postgraduate,married,car,yes,0.243,no
36,male,postgraduate,unmarried,car,no,0.321,yes
36,male,high_school,unmarried,car_house,yes,0.32,yes
35,male,postgraduate,unmarried,house,no,0.334,no
43,female,postgraduate,married,none,no,0.556,yes
38,male,college,unmarried,car,yes,0.304,yes
25,female,postgraduate,unmarried,none,yes,0.252,no
22,female,high_school,unmarried,none,yes,0.975,yes
38,female,high_school,unmarried,none,no,0.44,yes
27,male,college,unmarried,none,yes,1,yes
31,female,college,married,car,no,0.171,no
29,female,college,married,house,yes,0.246,no
32,female,college,married,none,yes,0.505,yes
34,female,college,married,car,yes,0.401,yes
34,female,postgraduate,married,car_house,yes,0.343,no
23,female,postgraduate,married,house,yes,0.323,no
28,male,postgraduate,married,car,no,0.19,no
27,female,postgraduate,married,house,no,0.184,no
31,male,college,married,car_house,no,0.144,no
41,male,postgraduate,married,car_house,no,0.168,no
37,male,college,married,car_house,no,0.147,no
41,male,college,married,house,no,0.347,no
45,female,postgraduate,married,car_house,no,0.193,no
35,female,postgraduate,unmarried,house,no,0.237,no
24,female,postgraduate,married,none,no,0.156,no
49,male,high_school,unmarried,none,yes,0.556,yes
29,female,postgraduate,unmarried,car_house,no,0.149,no
25,female,high_school,married,car,no,0.168,no
33,female,college,unmarried,car,no,0.477,yes
34,male,high_school,unmarried,car_house,yes,0.305,yes
22,female,high_school,unmarried,none,yes,0.932,yes
32,male,high_school,unmarried,none,yes,0.492,yes
33,female,postgraduate,unmarried,none,no,0.469,yes
41,male,college,unmarried,none,yes,0.468,yes
42,female,high_school,unmarried,none,yes,0.374,yes
39,male,high_school,married,none,yes,1,yes
34,female,postgraduate,married,car_house,yes,0.13,no
41,female,postgraduate,married,car_house,no,0.138,no
39,female,postgraduate,married,house,no,0.244,no
39,male,high_school,unmarried,none,yes,0.495,yes
27,male,postgraduate,unmarried,car_house,yes,0.241,no
47,female,postgraduate,married,house,no,0.156,no
29,female,postgraduate,unmarried,house,no,0.201,no
45,female,postgraduate,married,car,no,0.185,no
36,male,postgraduate,married,house,no,0.159,no
40,female,postgraduate,married,car_house,no,0.145,no
32,female,college,married,car_house,no,0.16,no
29,male,postgraduate,married,none,no,0.149,no
26,male,postgraduate,married,car_house,no,0.229,no
28,male,college,unmarried,none,yes,0.256,yes
40,male,postgraduate,married,house,no,0.332,no
24,female,college,unmarried,car_house,yes,0.338,yes
44,female,college,unmarried,none,yes,0.566,yes
27,male,high_school,unmarried,car_house,no,0.396,yes
40,female,postgraduate,married,house,no,0.317,no
39,female,college,unmarried,house,yes,0.196,no
26,male,postgraduate,married,car_house,no,0.196,no
33,male,college,married,house,no,0.238,no
24,female,college,married,none,no,0.503,yes
24,female,high_school,unmarried,none,yes,0.24,yes
43,male,postgraduate,married,house,no,0.17,no
52,female,college,unmarried,car,yes,1,yes
44,male,college,married,car,yes,0.325,yes
32,female,college,unmarried,car,yes,0.348,no
32,male,postgraduate,unmarried,car_house,yes,0.331,no
29,female,college,unmarried,car,no,0.51,yes
27,male,high_school,unmarried,house,yes,0.161,no
38,male,high_school,married,car_house,no,0.252,no
25,female,postgraduate,unmarried,car,no,0.265,no
38,female,postgraduate,married,house,no,0.127,no
29,male,postgraduate,married,car_house,no,0.333,no
34,male,college,unmarried,none,yes,0.941,yes
48,female,high_school,unmarried,car,yes,0.531,yes
26,female,postgraduate,married,house,yes,0.207,no
22,female,college,unmarried,house,no,0.167,no
45,female,college,unmarried,none,no,0.293,yes
29,female,postgraduate,married,house,no,0.162,no
25,female,postgraduate,unmarried,none,no,0.238,no
38,female,postgraduate,unmarried,house,no,0.317,no
37,male,postgraduate,married,car,no,0.132,no
35,female,postgraduate,married,car_house,no,0.255,no
24,female,college,unmarried,car,yes,1,yes
24,male,high_school,married,car,yes,0.179,no
29,male,college,married,house,no,0.2,no
51,male,college,married,car,no,0.282,yes
32,male,college,married,house,no,0.16,no
41,female,college,married,house,no,0.156,no
51,male,postgraduate,unmarried,car,yes,0.968,yes
52,female,high_school,married,car,yes,0.472,yes
25,male,high_school,unmarried,car,yes,1,yes
36,female,high_school,married,house,yes,0.148,no
24,female,high_school,unmarried,house,yes,0.466,yes
32,male,college,unmarried,car_house,no,0.257,no
32,female,postgraduate,unmarried,house,no,0.231,no
48,female,postgraduate,married,car_house,no,0.257,no
44,male,high_school,unmarried,none,no,0.336,yes
22,female,college,unmarried,car_house,no,0.563,yes
26,female,college,unmarried,none,no,0.959,yes
49,female,high_school,unmarried,car_house,yes,0.257,no
30,male,high_school,married,car_house,no,0.209,no
48,female,postgraduate,married,car_house,no,0.155,no
31,male,college,unmarried,none,yes,0.363,yes
26,female,postgraduate,married,car,no,0.137,no
37,male,college,unmarried,none,no,0.479,yes
33,male,postgraduate,married,house,yes,0.249,no
49,female,high_school,unmarried,none,yes,0.54,yes
24,female,college,married,house,no,0.18,no
28,female,postgraduate,married,none,no,0.245,no
40,male,college,unmarried,none,yes,0.414,yes
26,female,high_school,unmarried,none,yes,0.932,yes
44,male,high_school,married,car_house,no,0.539,yes
29,male,postgraduate,married,house,no,0.169,no
64,female,high_school,unmarried,car,yes,0.507,yes
42,male,college,unmarried,none,yes,0.524,yes
30,female,college,married,car,yes,0.535,yes
38,female,postgraduate,married,car_house,no,0.345,no
42,female,high_school,unmarried,none,yes,0.486,yes
38,male,high_school,married,car,yes,1,yes
28,male,high_school,married,none,yes,0.323,yes
42,female,high_school,unmarried,car,yes,0.519,yes
28,female,college,unmarried,car,yes,0.524,yes
60,female,college,married,none,yes,0.975,yes
40,female,postgraduate,married,none,yes,0.314,yes
32,male,postgraduate,unmarried,house,yes,0.254,no
23,female,college,unmarried,none,yes,1,yes
33,female,high_school,married,car_house,no,0.262,no
46,female,college,unmarried,none,no,0.346,yes
30,female,college,unmarried,car_house,yes,0.281,yes
28,male,high_school,unmarried,car,no,0.433,yes
30,female,high_school,married,none,yes,0.321,yes
22,female,postgraduate,married,none,no,0.332,no
27,female,high_school,married,none,no,0.273,yes
32,female,postgraduate,married,none,no,0.187,no
26,female,postgraduate,married,house,no,0.196,no
45,male,postgraduate,married,house,no,0.179,no
33,male,high_school,unmarried,none,no,0.473,yes
21,male,high_school,unmarried,none,yes,1,yes
33,female,college,married,car,yes,0.176,no
36,male,postgraduate,married,house,no,0.137,no
30,female,college,married,car_house,no,0.214,no
39,female,high_school,unmarried,none,yes,0.375,yes
28,male,high_school,unmarried,car_house,yes,0.548,yes
44,female,college,married,house,yes,0.16,no
34,female,high_school,married,house,no,0.135,no
41,female,postgraduate,married,car,no,0.331,no
32,female,postgraduate,married,car_house,no,0.342,no
28,female,postgraduate,unmarried,none,yes,0.31,yes
28,male,college,married,car_house,no,0.32,no
22,female,high_school,unmarried,none,yes,0.495,yes
30,female,college,married,car_house,no,0.188,no
31,male,college,married,car,yes,0.972,yes
34,female,high_school,married,car,no,0.418,yes
33,female,high_school,unmarried,none,no,0.351,yes
38,female,high_school,unmarried,car,yes,0.304,yes
26,male,postgraduate,married,house,no,0.146,no
23,male,postgraduate,unmarried,house,yes,0.193,no
23,female,postgraduate,unmarried,car,no,0.243,no
55,female,high_school,unmarried,none,yes,1,yes
30,female,college,unmarried,none,no,0.311,yes
48,male,postgraduate,married,house,no,0.204,no
41,male,postgraduate,unmarried,none,no,0.522,yes
33,male,high_school,unmarried,car,yes,0.563,yes
28,female,college,married,car,yes,0.251,no
39,male,postgraduate,unmarried,car_house,no,0.144,no
35,female,college,married,none,yes,0.359,yes
39,male,high_school,unmarried,car,yes,0.977,yes
39,female,postgraduate,married,car_house,no,0.171,no
39,female,high_school,married,car_house,no,0.178,no
36,female,college,unmarried,none,no,0.124,no
26,female,college,married,car_house,no,0.347,no
26,male,college,unmarried,house,no,0.129,no
34,male,college,unmarried,car_house,no,0.492,yes
73,male,high_school,married,car,yes,1,yes
47,female,college,unmarried,car_house,no,0.21,no
30,male,high_school,unmarried,house,yes,0.931,yes
23,female,college,unmarried,car,yes,1,yes
52,female,high_school,unmarried,car,yes,0.297,yes
23,female,postgraduate,married,car_house,yes,0.14,no
33,female,college,married,house,no,0.134,no
57,male,college,unmarried,none,yes,0.464,yes
27,female,postgraduate,married,house,yes,0.194,no
29,female,postgraduate,married,none,no,0.483,yes
48,male,college,married,none,no,0.131,no
28,male,college,unmarried,car,yes,0.539,yes
38,male,college,unmarried,none,yes,0.541,yes
27,male,college,unmarried,none,no,0.474,yes
23,female,high_school,unmarried,none,yes,0.306,yes
32,male,college,married,car_house,no,0.327,no
27,female,college,married,house,no,0.164,no
39,female,college,unmarried,car,no,0.413,yes
36,female,high_school,married,car_house,no,0.346,no
34,female,high_school,unmarried,house,no,0.4,yes
26,male,college,married,car_house,yes,0.551,yes
30,female,postgraduate,married,car_house,yes,0.33,no
30,female,postgraduate,married,car_house,no,0.249,no
37,male,college,unmarried,none,yes,0.476,yes
28,male,high_school,married,car,no,0.129,no
26,male,college,unmarried,none,no,1,yes
41,female,high_school,unmarried,none,no,1,yes
25,female,high_school,unmarried,house,yes,0.509,yes
25,female,high_school,unmarried,none,yes,0.533,yes
51,male,high_school,unmarried,none,no,0.349,yes
39,male,postgraduate,married,car,no,0.316,no
28,female,college,unmarried,none,no,0.219,no
24,female,college,unmarried,car,yes,1,yes
37,female,postgraduate,married,car_house,no,0.245,no
30,male,college,unmarried,car,yes,0.332,yes
42,male,postgraduate,unmarried,car_house,yes,1,yes
56,male,high_school,married,car,yes,0.523,yes
34,male,postgraduate,unmarried,car_house,yes,0.237,no
42,male,postgraduate,married,house,no,0.243,no
44,female,college,unmarried,car_house,no,0.165,no
28,male,high_school,unmarried,car,no,0.31,yes
47,female,college,unmarried,house,yes,1,yes
24,female,college,unmarried,house,no,0.33,yes
27,female,high_school,unmarried,none,yes,0.364,yes
43,male,high_school,unmarried,car,yes,1,yes
28,male,postgraduate,married,house,yes,0.16,no
28,male,college,married,car_house,yes,0.246,no
23,female,postgraduate,married,none,no,0.324,no
27,female,high_school,married,house,no,0.142,no
28,female,college,married,none,yes,0.174,no
28,female,postgraduate,married,car,no,0.235,no
29,male,college,married,house,yes,0.469,yes
53,male,high_school,unmarried,none,yes,0.344,yes
54,male,postgraduate,unmarried,car_house,no,0.242,no
25,male,college,married,car_house,no,0.163,no
29,male,college,married,car_house,no,0.345,no
49,female,postgraduate,unmarried,none,yes,1,yes
48,female,postgraduate,married,house,no,0.256,no
31,female,postgraduate,married,car_house,no,0.198,no
36,female,college,unmarried,car,yes,0.311,yes
32,male,high_school,unmarried,none,no,0.953,yes
33,female,college,unmarried,none,yes,0.39,yes
36,female,high_school,unmarried,none,yes,0.979,yes
25,female,high_school,unmarried,car,yes,0.524,yes
27,female,college,married,car_house,no,0.336,no
45,male,college,married,car_house,no,0.331,no
41,female,high_school,unmarried,car,no,0.428,yes
30,male,college,married,none,yes,0.279,yes
23,female,college,unmarried,car,no,0.502,yes
45,female,high_school,married,car_house,no,0.2,no
30,female,college,unmarried,house,yes,0.49,yes
47,female,high_school,married,none,yes,0.452,yes
